xLCC,yLCC,BC
349438,4324700,0.581020545150486
349514,4324700,0.581026123844619
349589,4324700,0.581032006426541
349665,4324700,0.581038378205371
349740,4324700,0.581045101690021
349816,4324700,0.581052389381619
349891,4324700,0.581060084777331
349967,4324700,0.581068431930042
350042,4324700,0.581077252477092
350118,4324700,0.581086827142991
350193,4324700,0.581096952392111
350269,4324700,0.581107951642136
350344,4324700,0.581119592322416
350420,4324700,0.581132247635368
350495,4324700,0.581145651463417
350571,4324700,0.58116023515494
350646,4324700,0.581175693761538
350722,4324700,0.581192526644099
350797,4324700,0.581210383818854
350873,4324700,0.58122984430741
350948,4324700,0.581250505783319
351024,4324700,0.581273040679536
351099,4324700,0.581296985692111
351175,4324700,0.581323122885476
351250,4324700,0.581350917736214
351326,4324700,0.58138128104124
351401,4324700,0.581413594857726
351477,4324700,0.581448921143739
351552,4324700,0.581486543935295
351628,4324700,0.581527702570002
351703,4324700,0.581571565493696
351779,4324700,0.581619579871136
351854,4324700,0.581670777297792
351930,4324700,0.581726847795677
352005,4324700,0.581786660231514
352081,4324700,0.581852187264818
352156,4324700,0.581922103357746
352232,4324700,0.581998708175811
352307,4324700,0.582080442829531
352383,4324700,0.582169982264304
352458,4324700,0.582265486242077
352534,4324700,0.582370055737645
352609,4324700,0.58248151010453
352685,4324700,0.582603427178503
352760,4324700,0.582733213765096
352836,4324700,0.582874971999531
352911,4324700,0.583025609398385
352987,4324700,0.58318979200661
353062,4324700,0.58336382655107
353138,4324700,0.583552969890786
353213,4324700,0.583752814149629
353289,4324700,0.58396921686284
353364,4324700,0.584196935857058
353440,4324700,0.584442419645421
353515,4324700,0.584699477506728
353591,4324700,0.584975120006607
353666,4324700,0.585262114832629
353742,4324700,0.585567989663536
353817,4324700,0.585884416444848
353893,4324700,0.586219383650513
353968,4324700,0.586563467504222
354044,4324700,0.586925053120655
354119,4324700,0.587293683531631
354195,4324700,0.587678068773364
354270,4324700,0.588066842673443
354346,4324700,0.588468957545244
354421,4324700,0.588872314046534
354497,4324700,0.589286008005261
354572,4324700,0.589697421141897
354648,4324700,0.590115673769957
354723,4324700,0.590527867500661
354799,4324700,0.590943007100396
354874,4324700,0.591348167476867
354950,4324700,0.591752080410256
355025,4324700,0.592142056730009
355101,4324700,0.592526387876101
355176,4324700,0.59289289084259
355252,4324700,0.593249249651632
355327,4324700,0.593584065389117
355403,4324700,0.593904259316907
355478,4324700,0.594199501374445
355554,4324700,0.594475817658528
355629,4324700,0.594724234121445
355705,4324700,0.594949781452046
355780,4324700,0.595145120721724
355856,4324700,0.595314224409801
355931,4324700,0.595451641670212
356007,4324700,0.595560260878092
356082,4324700,0.595636720506846
356158,4324700,0.595682828596579
356233,4324700,0.595697432479782
356309,4324700,0.595681280575427
356384,4324700,0.595635439296638
356460,4324700,0.595559620920491
356535,4324700,0.595456995988763
356611,4324700,0.595326257224946
356686,4324700,0.595172443948097
356762,4324700,0.594993239211254
356837,4324700,0.594795224369384
356913,4324700,0.594575087247465
356988,4324700,0.594340581035216
357064,4324700,0.594087434901274
357139,4324700,0.593824213282879
357215,4324700,0.593545760191235
357290,4324700,0.593261142091073
357366,4324700,0.592964432086388
357441,4324700,0.592664960388678
357517,4324700,0.592356174900514
357592,4324700,0.592047499423209
357668,4324700,0.591731916226797
357743,4324700,0.591418824055947
357819,4324700,0.591100894947812
357894,4324700,0.590787415886226
357970,4324700,0.590470887317218
358045,4324700,0.590160414577359
358121,4324700,0.589848442935934
358196,4324700,0.589543834661808
358272,4324700,0.589239074122084
358347,4324700,0.588942724816204
358423,4324700,0.588647385343319
358498,4324700,0.588361270941651
358574,4324700,0.588077154170317
358649,4324700,0.58780286037977
358725,4324700,0.587531383670673
358800,4324700,0.587270127275797
358876,4324700,0.587012344657973
358951,4324700,0.586764994926319
359027,4324700,0.586521620535279
359102,4324700,0.586288724690267
359178,4324700,0.586060161264304
359253,4324700,0.585841975298137
359329,4324700,0.585628347963575
359404,4324700,0.585424872188609
359480,4324700,0.585226066294038
359555,4324700,0.58503708397542
359631,4324700,0.584852785025097
359706,4324700,0.584677902044496
359782,4324700,0.584507635643467
359857,4324700,0.584346319215437
359933,4324700,0.584189489174073
360008,4324700,0.584041103985902
360084,4324700,0.583897027165291
360159,4324700,0.583760867784802
360235,4324700,0.583628804762287
