RecID,x,y,lur
12565.0,353933.9544300001,4326239.08642,0.3606612352502301
12566.0,353974.09627,4326239.08642,0.3705000678183543
12567.0,354014.23811,4326239.08642,0.3658733752771217
12568.0,354054.37996,4326239.08642,0.3595368944551254
12569.0,354094.5218,4326239.08642,0.36218029474449104
12570.0,354134.66365,4326239.08642,0.3640631196875643
12571.0,354174.80549,4326239.08642,0.36596756413990544
12572.0,354214.94733,4326239.08642,0.3781453514148085
12573.0,354255.08918,4326239.08642,0.37794375186128026
12574.0,354295.23102,4326239.08642,0.3894073767268531
12575.0,354335.37286999996,4326239.08642,0.41661011988955177
12576.0,354375.51471,4326239.08642,0.4628546393015005
12577.0,354415.65655,4326239.08642,0.5201430636862968
12578.0,354455.7984,4326239.08642,0.633472144065367
